code_module,code_presentation,id_student,site_count
AAA,2013J,11391,196
AAA,2013J,28400,430
AAA,2013J,30268,76
AAA,2013J,31604,663
AAA,2013J,32885,352
AAA,2013J,38053,723
AAA,2013J,45462,355
AAA,2013J,45642,531
AAA,2013J,52130,593
AAA,2013J,53025,904
AAA,2013J,57506,403
AAA,2013J,58873,526
AAA,2013J,59185,345
AAA,2013J,62155,981
AAA,2013J,63400,760
AAA,2013J,65002,54
AAA,2013J,70464,205
AAA,2013J,71361,728
AAA,2013J,74372,72
AAA,2013J,75091,754
AAA,2013J,77367,271
AAA,2013J,91265,496
AAA,2013J,94961,102
AAA,2013J,98094,386
AAA,2013J,100893,243
AAA,2013J,101781,913
AAA,2013J,102806,781
AAA,2013J,102952,313
AAA,2013J,104476,992
AAA,2013J,106247,145
AAA,2013J,106577,221
AAA,2013J,110175,343
AAA,2013J,111717,589
AAA,2013J,113295,1001
AAA,2013J,114017,231
AAA,2013J,114999,510
AAA,2013J,116541,514
AAA,2013J,116692,311
AAA,2013J,118983,111
AAA,2013J,123044,600
AAA,2013J,127582,440
AAA,2013J,129955,303
AAA,2013J,132976,152
AAA,2013J,134143,569
AAA,2013J,135335,25
AAA,2013J,135400,109
AAA,2013J,137873,1409
AAA,2013J,141355,585
AAA,2013J,141377,44
AAA,2013J,142326,631
AAA,2013J,144801,1620
AAA,2013J,145130,149
AAA,2013J,146188,192
AAA,2013J,147756,228
AAA,2013J,147793,41
AAA,2013J,148993,554
AAA,2013J,151358,89
AAA,2013J,155550,419
AAA,2013J,155854,963
AAA,2013J,155984,245
AAA,2013J,157568,386
AAA,2013J,159954,320
AAA,2013J,164259,239
AAA,2013J,167906,515
AAA,2013J,168936,302
AAA,2013J,172112,697
AAA,2013J,172797,415
AAA,2013J,174782,1643
AAA,2013J,175392,1311
AAA,2013J,175932,437
AAA,2013J,175991,50
AAA,2013J,180753,858
AAA,2013J,181316,145
AAA,2013J,183096,547
AAA,2013J,183947,368
AAA,2013J,184271,477
AAA,2013J,185439,99
AAA,2013J,186149,585
AAA,2013J,187100,1922
AAA,2013J,188278,393
AAA,2013J,189879,442
AAA,2013J,192183,804
AAA,2013J,195262,352
AAA,2013J,200860,280
AAA,2013J,202635,297
AAA,2013J,205350,563
AAA,2013J,205719,117
AAA,2013J,227499,807
AAA,2013J,227517,387
AAA,2013J,228082,136
AAA,2013J,228222,166
AAA,2013J,229179,163
AAA,2013J,229361,349
AAA,2013J,231554,435
AAA,2013J,235507,71
AAA,2013J,236284,210
AAA,2013J,238007,743
AAA,2013J,240712,107
AAA,2013J,240884,191
AAA,2013J,241649,573
AAA,2013J,241729,627
AAA,2013J,242793,263
AAA,2013J,246834,351
AAA,2013J,248270,752
AAA,2013J,255548,815
AAA,2013J,256815,518
AAA,2013J,258392,299
AAA,2013J,258894,1370
AAA,2013J,260355,134
AAA,2013J,262011,345
AAA,2013J,262934,717
AAA,2013J,268073,716
AAA,2013J,268733,55
AAA,2013J,271251,639
AAA,2013J,277880,470
AAA,2013J,279572,297
AAA,2013J,281022,183
AAA,2013J,281250,77
AAA,2013J,281589,28
AAA,2013J,282821,478
AAA,2013J,286488,284
AAA,2013J,287548,144
AAA,2013J,290201,496
AAA,2013J,290757,153
AAA,2013J,291334,1879
AAA,2013J,293699,114
AAA,2013J,294570,438
AAA,2013J,294594,256
AAA,2013J,295741,300
AAA,2013J,296332,511
AAA,2013J,298696,201
AAA,2013J,300398,580
AAA,2013J,302302,165
AAA,2013J,305152,44
AAA,2013J,305386,368
AAA,2013J,305539,26
AAA,2013J,306107,322
AAA,2013J,306466,378
AAA,2013J,306897,1112
AAA,2013J,307061,401
AAA,2013J,307866,377
AAA,2013J,311917,696
AAA,2013J,312537,1835
AAA,2013J,312782,106
AAA,2013J,318933,460
AAA,2013J,319047,1933
AAA,2013J,321942,2133
AAA,2013J,324002,610
AAA,2013J,324084,494
AAA,2013J,324282,74
AAA,2013J,331358,527
AAA,2013J,332789,448
AAA,2013J,333059,136
AAA,2013J,333323,178
AAA,2013J,334259,122
AAA,2013J,334333,100
AAA,2013J,335764,731
AAA,2013J,336207,396
AAA,2013J,339972,125
AAA,2013J,341872,113
AAA,2013J,342007,228
AAA,2013J,342514,447
AAA,2013J,342972,323
AAA,2013J,343446,1217
AAA,2013J,344282,53
AAA,2013J,345068,213
AAA,2013J,345357,737
AAA,2013J,346025,272
AAA,2013J,346843,40
AAA,2013J,350188,316
AAA,2013J,354858,46
AAA,2013J,357668,88
AAA,2013J,364177,242
AAA,2013J,365244,403
AAA,2013J,365642,755
AAA,2013J,366483,488
AAA,2013J,368194,169
AAA,2013J,368824,124
AAA,2013J,368963,225
AAA,2013J,376439,761
AAA,2013J,376581,627
AAA,2013J,380953,374
AAA,2013J,383254,272
AAA,2013J,386924,96
AAA,2013J,386952,357
AAA,2013J,388722,222
AAA,2013J,388885,245
AAA,2013J,390890,217
AAA,2013J,392756,167
AAA,2013J,392931,958
AAA,2013J,393207,237
AAA,2013J,396872,307
AAA,2013J,398552,323
AAA,2013J,401869,352
AAA,2013J,402470,346
AAA,2013J,404804,152
AAA,2013J,405088,409
AAA,2013J,414117,322
AAA,2013J,415969,297
AAA,2013J,420087,137
AAA,2013J,429958,125
AAA,2013J,441018,245
AAA,2013J,441888,272
AAA,2013J,442442,295
AAA,2013J,444677,507
AAA,2013J,470588,81
AAA,2013J,489455,808
AAA,2013J,494424,21
AAA,2013J,495284,231
AAA,2013J,498857,342
AAA,2013J,508818,274
AAA,2013J,512460,235
AAA,2013J,544103,714
AAA,2013J,550383,236
AAA,2013J,564450,88
AAA,2013J,568601,84
AAA,2013J,572652,200
AAA,2013J,580389,316
AAA,2013J,581129,76
AAA,2013J,588775,1733
AAA,2013J,591774,209
AAA,2013J,603861,241
AAA,2013J,606143,129
AAA,2013J,704156,742
AAA,2013J,705379,1441
AAA,2013J,721259,282
AAA,2013J,749412,1177
AAA,2013J,760729,1829
AAA,2013J,905042,875
AAA,2013J,949618,559
AAA,2013J,958987,391
AAA,2013J,968578,268
AAA,2013J,969076,746
AAA,2013J,971027,760
AAA,2013J,978739,1143
AAA,2013J,1035023,572
AAA,2013J,1105478,512
AAA,2013J,1352868,174
AAA,2013J,1401935,85
AAA,2013J,1402638,310
AAA,2013J,1414443,397
AAA,2013J,1456619,138
AAA,2013J,1465690,994
AAA,2013J,1472925,230
AAA,2013J,1488959,721
AAA,2013J,1518989,1183
AAA,2013J,1618738,147
AAA,2013J,1620151,218
AAA,2013J,1626710,1681
AAA,2013J,1640609,1433
AAA,2013J,1686521,201
AAA,2013J,1729319,765
AAA,2013J,1746134,534
AAA,2013J,1758449,650
AAA,2013J,1763015,30
AAA,2013J,1765788,1712
AAA,2013J,1801229,371
AAA,2013J,1801641,134
AAA,2013J,1847830,1623
AAA,2013J,1860318,1328
AAA,2013J,1889511,575
AAA,2013J,1889577,307
AAA,2013J,1894188,490
AAA,2013J,1938355,607
AAA,2013J,1942396,164
AAA,2013J,1970390,2007
AAA,2013J,1976139,354
AAA,2013J,2011876,419
AAA,2013J,2012966,148
AAA,2013J,2051699,441
AAA,2013J,2062879,738
AAA,2013J,2065691,248
AAA,2013J,2073016,329
AAA,2013J,2080474,361
AAA,2013J,2083877,258
AAA,2013J,2084066,465
AAA,2013J,2104505,197
AAA,2013J,2122180,977
AAA,2013J,2139353,446
AAA,2013J,2143752,352
AAA,2013J,2146792,720
AAA,2013J,2149225,88
AAA,2013J,2153153,821
AAA,2013J,2155014,306
AAA,2013J,2164705,76
AAA,2013J,2171627,398
AAA,2013J,2182846,1383
AAA,2013J,2194100,434
AAA,2013J,2197016,415
AAA,2013J,2208424,374
AAA,2013J,2229865,911
AAA,2013J,2255601,618
AAA,2013J,2268379,624
AAA,2013J,2278464,111
AAA,2013J,2293923,110
AAA,2013J,2312620,315
AAA,2013J,2329342,194
AAA,2013J,2339528,155
AAA,2013J,2342426,518
AAA,2013J,2344901,144
AAA,2013J,2358056,544
AAA,2013J,2358969,106
AAA,2013J,2364471,2230
AAA,2013J,2367155,510
AAA,2013J,2369266,480
AAA,2013J,2376496,302
AAA,2013J,2391984,188
AAA,2013J,2411661,125
AAA,2013J,2411778,239
AAA,2013J,2412002,976
AAA,2013J,2412967,698
AAA,2013J,2429854,159
AAA,2013J,2437837,676
AAA,2013J,2449878,261
AAA,2013J,2456480,73
AAA,2013J,2457256,425
AAA,2013J,2458355,1148
AAA,2013J,2460080,696
AAA,2013J,2461190,238
AAA,2013J,2469673,165
AAA,2013J,2470694,680
AAA,2013J,2479954,129
AAA,2013J,2481901,498
AAA,2013J,2482700,413
AAA,2013J,2486127,576
AAA,2013J,2498700,852
AAA,2013J,2516503,1063
AAA,2013J,2518069,447
AAA,2013J,2521459,363
AAA,2013J,2523736,228
AAA,2013J,2529279,336
AAA,2013J,2532302,358
AAA,2013J,2536991,392
AAA,2013J,2542724,61
AAA,2013J,2550279,663
AAA,2013J,2551220,503
AAA,2013J,2552472,93
AAA,2013J,2555340,1038
AAA,2013J,2557283,1808
AAA,2013J,2559575,218
AAA,2013J,2562034,67
AAA,2013J,2566163,416
AAA,2013J,2566592,387
AAA,2013J,2569324,6
AAA,2013J,2574528,396
AAA,2013J,2574583,428
AAA,2013J,2576122,85
AAA,2013J,2578995,477
AAA,2013J,2586560,729
AAA,2013J,2594139,302
AAA,2013J,2598871,549
AAA,2013J,2599352,328
AAA,2013J,2600688,146
AAA,2013J,2606098,198
AAA,2013J,2613116,264
AAA,2013J,2617002,423
AAA,2013J,2620584,29
AAA,2013J,2639449,303
AAA,2013J,2639540,789
AAA,2013J,2639641,628
AAA,2013J,2641155,1329
AAA,2013J,2643002,784
AAA,2013J,2645733,543
AAA,2013J,2649826,1562
AAA,2013J,2650282,260
AAA,2013J,2664024,288
AAA,2013J,2666246,231
AAA,2013J,2669816,137
AAA,2013J,2671132,683
AAA,2013J,2676809,134
AAA,2013J,2678643,582
AAA,2013J,2685865,878
AAA,2013J,2688067,75
AAA,2013J,2689958,1744
AAA,2013J,2691206,825
AAA,2013J,2691244,224
AAA,2013J,2694424,1255
AAA,2013J,2698257,267
AAA,2014J,6516,662
AAA,2014J,24734,230
AAA,2014J,26192,659
AAA,2014J,28061,663
AAA,2014J,31600,126
AAA,2014J,46844,168
AAA,2014J,52765,1298
AAA,2014J,55104,526
AAA,2014J,58071,791
AAA,2014J,58316,421
AAA,2014J,62487,273
AAA,2014J,63165,342
AAA,2014J,65002,2
AAA,2014J,70011,1831
AAA,2014J,75255,333
AAA,2014J,79403,345
AAA,2014J,85092,232
AAA,2014J,85144,304
AAA,2014J,85302,691
AAA,2014J,87431,203
AAA,2014J,94961,315
AAA,2014J,95755,127
AAA,2014J,101116,662
AAA,2014J,107489,1213
AAA,2014J,108872,382
AAA,2014J,109155,880
AAA,2014J,111512,143
AAA,2014J,117818,463
AAA,2014J,119902,651
AAA,2014J,121349,451
AAA,2014J,124064,741
AAA,2014J,125018,614
AAA,2014J,129955,234
AAA,2014J,130034,634
AAA,2014J,130547,346
AAA,2014J,130636,127
AAA,2014J,131390,53
AAA,2014J,133816,898
AAA,2014J,133922,242
AAA,2014J,135335,9
AAA,2014J,135400,93
AAA,2014J,135471,640
AAA,2014J,139033,287
AAA,2014J,141377,206
AAA,2014J,141506,135
AAA,2014J,146503,209
AAA,2014J,147756,362
AAA,2014J,148993,718
AAA,2014J,149741,592
AAA,2014J,149962,69
AAA,2014J,151587,73
AAA,2014J,152668,241
AAA,2014J,155984,561
AAA,2014J,158707,896
AAA,2014J,159954,328
AAA,2014J,164944,572
AAA,2014J,165226,218
AAA,2014J,167961,614
AAA,2014J,174024,178
