id_student,code_module,code_presentation,gender,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,site_count,CMA,TMA,Exam,final_result
11391,AAA,2013J,M,HE Qualification,90-100%,55<=,False,0,240,196.0,,82.0,,Pass
28400,AAA,2013J,F,HE Qualification,20-30%,35-55,False,0,60,430.0,,66.4,,Pass
30268,AAA,2013J,F,A Level or Equivalent,30-40%,35-55,True,0,60,76.0,,,,Withdrawn
31604,AAA,2013J,F,A Level or Equivalent,50-60%,35-55,False,0,60,663.0,,76.0,,Pass
32885,AAA,2013J,F,Lower Than A Level,50-60%,0-35,False,0,60,352.0,,54.4,,Pass
38053,AAA,2013J,M,A Level or Equivalent,80-90%,35-55,False,0,60,723.0,,68.0,,Pass
45462,AAA,2013J,M,HE Qualification,30-40%,0-35,False,0,60,355.0,,68.0,,Pass
45642,AAA,2013J,F,A Level or Equivalent,90-100%,0-35,False,0,120,531.0,,72.4,,Pass
52130,AAA,2013J,F,A Level or Equivalent,70-80%,0-35,False,0,90,593.0,,71.4,,Pass
53025,AAA,2013J,M,Post Graduate Qualification,Unknown,55<=,False,0,60,904.0,,78.0,,Pass
57506,AAA,2013J,M,Lower Than A Level,70-80%,35-55,False,0,60,403.0,,74.0,,Pass
58873,AAA,2013J,F,A Level or Equivalent,20-30%,0-35,False,0,60,526.0,,73.2,,Pass
59185,AAA,2013J,M,Lower Than A Level,60-70%,35-55,False,0,60,345.0,,78.6,,Pass
62155,AAA,2013J,F,HE Qualification,50-60%,0-35,False,0,60,981.0,,76.0,,Pass
63400,AAA,2013J,M,Lower Than A Level,40-50%,35-55,False,0,60,760.0,,71.6,,Pass
65002,AAA,2013J,F,A Level or Equivalent,70-80%,0-35,False,0,60,54.0,,67.0,,Withdrawn
70464,AAA,2013J,F,A Level or Equivalent,60-70%,35-55,False,0,60,205.0,,55.6,,Pass
71361,AAA,2013J,M,HE Qualification,Unknown,35-55,False,0,60,728.0,,80.4,,Pass
74372,AAA,2013J,M,A Level or Equivalent,10-20%,35-55,False,0,150,72.0,,48.5,,Fail
75091,AAA,2013J,M,A Level or Equivalent,30-40%,35-55,False,0,60,754.0,,66.0,,Pass
77367,AAA,2013J,M,A Level or Equivalent,30-40%,0-35,False,0,60,271.0,,70.4,,Pass
91265,AAA,2013J,M,HE Qualification,0-10%,0-35,False,0,60,496.0,,70.8,,Pass
94961,AAA,2013J,M,Lower Than A Level,70-80%,35-55,False,0,60,102.0,,65.33333333333333,,Withdrawn
98094,AAA,2013J,M,Lower Than A Level,70-80%,35-55,False,0,60,386.0,,60.6,,Pass
100893,AAA,2013J,M,A Level or Equivalent,20-30%,0-35,False,0,60,243.0,,68.4,,Pass
101781,AAA,2013J,M,Lower Than A Level,80-90%,35-55,False,0,60,913.0,,72.6,,Pass
102806,AAA,2013J,M,A Level or Equivalent,30-40%,0-35,False,0,60,781.0,,78.0,,Pass
102952,AAA,2013J,M,HE Qualification,60-70%,0-35,False,0,60,313.0,,76.6,,Pass
104476,AAA,2013J,M,Post Graduate Qualification,Unknown,35-55,False,0,60,992.0,,79.6,,Pass
106247,AAA,2013J,M,HE Qualification,80-90%,35-55,False,0,60,145.0,,60.0,,Withdrawn
106577,AAA,2013J,M,Lower Than A Level,20-30%,0-35,False,0,60,221.0,,53.4,,Pass
110175,AAA,2013J,M,HE Qualification,80-90%,35-55,False,0,60,343.0,,63.4,,Pass
111717,AAA,2013J,F,HE Qualification,90-100%,35-55,False,0,60,589.0,,81.0,,Pass
113295,AAA,2013J,M,Lower Than A Level,60-70%,35-55,False,0,60,1001.0,,77.6,,Pass
114017,AAA,2013J,F,Post Graduate Qualification,Unknown,35-55,False,0,60,231.0,,71.8,,Pass
114999,AAA,2013J,M,HE Qualification,60-70%,35-55,False,0,60,510.0,,72.8,,Pass
116541,AAA,2013J,M,HE Qualification,0-10%,0-35,False,0,60,514.0,,62.4,,Pass
116692,AAA,2013J,M,A Level or Equivalent,70-80%,35-55,False,0,60,311.0,,74.2,,Pass
118983,AAA,2013J,M,HE Qualification,30-40%,0-35,False,0,120,111.0,,61.8,,Pass
123044,AAA,2013J,M,A Level or Equivalent,40-50%,35-55,False,0,60,600.0,,71.4,,Pass
